,coef,se,z,p
Intercept,0.15945179398257894,0.1429865400201122,1.1151524749123292,0.2647850878150829
C(period)[T.2_pres_campaign],0.06704049457758053,0.04352599331851486,1.540240427989571,0.12350175873006197
C(period)[T.3_inter_election],0.11954042021028168,0.02962478206624267,4.03514935377356,5.456757577109255e-05
C(period)[T.4_local_campaign],0.052988891871860795,0.04891446595717589,1.0832969518312234,0.27867663784663077
C(period)[T.5_post_local],0.06346087397197644,0.039214249588280264,1.6183115739372105,0.10559546765144923
C(province)[T.hatay],0.444048944496788,0.16387907546893637,2.7096134343335274,0.006736166659328992
C(province)[T.kahramanmaras],0.1405730776462772,0.16755933296330994,0.8389450779029906,0.40150013031639087
C(province)[T.national],0.28915657227907926,0.12100810178684213,2.389563740024892,0.0168683965339017
Group Var,0.2163138006424801,0.14262822320698515,1.5166269043999858,0.1293609086813234
