,coef,se,z,p
Intercept,1.5265887195650567,0.2958803930837114,5.159479151878609,2.4763779630762565e-07
C(period)[T.2_pres_campaign],0.19656632255292292,0.060704051254890146,3.2381087998156977,0.0012032491295777892
C(period)[T.3_inter_election],0.012392355747982493,0.04131752272218213,0.29992978599681175,0.7642307137167094
C(period)[T.4_local_campaign],0.19571244987827446,0.06827107639122632,2.8666964141117006,0.004147806871887378
C(period)[T.5_post_local],0.0962454192777108,0.05488876572428215,1.7534629902441576,0.07952256689896639
C(province)[T.hatay],-0.0591829615562769,0.25084079345017674,-0.2359383445660808,0.8134805133885168
C(province)[T.kahramanmaras],0.0028863606595914996,0.27381498752825895,0.010541280759124312,0.9915894305932779
C(province)[T.national],0.006953750698094113,0.17978997455741924,0.038677077046213745,0.9691478495986007
Group Var,0.9058646387854122,0.4865208161914248,1.8619237011823846,0.06261384570941031
