,coef,se,z,p
Intercept,0.7790322723359249,0.2410100930136596,3.232363684834444,0.001227706951969818
C(period)[T.2_pres_campaign],-0.17004989859747657,0.05762513197882663,-2.950967620515967,0.003167801237298533
C(period)[T.3_inter_election],-0.10346605090909144,0.039218292087993475,-2.638208993827326,0.008334519921080844
C(period)[T.4_local_campaign],-0.15446907594850648,0.06477960644127302,-2.384532485367025,0.01710083811358056
C(period)[T.5_post_local],-0.08653526657459383,0.05208193501038348,-1.6615217264362672,0.09660870910618996
C(province)[T.hatay],0.3232587942754343,0.22999200780709547,1.4055218585967815,0.1598661540571561
C(province)[T.kahramanmaras],0.42175632713465433,0.2617473262266024,1.6113109280418298,0.10711197009214062
C(province)[T.national],0.47455586597666105,0.16819181744901812,2.821515773919901,0.004779728684636844
Group Var,0.5553985654365194,0.32999593446682557,1.6830466906626498,0.09236605314206975
