cluster,Technical,Political,Development,Sustainability,n
0,0.22594619344754968,0.9776539174165564,0.7663956021970199,0.17553443054493378,604
1,1.6960353522396578,2.6281857684736094,2.0763609122681883,0.513113640096719,701
2,2.2271328839,1.6846006074533333,2.0367539160000003,1.5875173211333333,300
3,0.9870706178651686,0.6347057431192884,1.6798780079588014,0.5707676725131087,534
