frame,pearson,spearman,weighted_kappa
technical,0.8365009102971903,0.8248651537156363,0.7611258118835699
political,0.932690467388232,0.9285860316752448,0.746145167356149
development,0.7433935668115773,0.7329163249259104,0.41990668740279935
sustainability,0.6931419454115911,0.5531940374956529,0.4347826086956522
