source_type,mean,std,count
valilik,0.7041421161176303,0.21759295419026603,275
belediye,0.8019181123726301,0.14142045005687906,1010
cumhurbaskanligi,0.8740233922748322,0.07555735918521973,316
bakanlik,0.9202329439542577,0.07113999407526037,536
afad,0.9743992093392215,0.0039529996275947344,2
