frame,KW_period_H,KW_period_p,KW_province_H,KW_province_p
technical,40.690636505908145,3.114893371671254e-08,756.5306206578127,1.157148968165394e-163
political,80.93132501069476,1.1057951376648017e-16,962.5932948075106,2.3422530974205835e-208
development,78.72596493731679,3.24232968061659e-16,479.5841441079701,1.2673644522816709e-103
sustainability,6.011546287290396,0.19828764754529157,402.9170169604629,5.1677701907215455e-87
