cluster,afad,bakanlik,belediye,cumhurbaskanligi,valilik
0,0.0,0.033112582781456956,0.6208609271523179,0.039735099337748346,0.30629139072847683
1,0.0,0.3880171184022825,0.16690442225392296,0.38659058487874465,0.05848787446504993
2,0.0033333333333333335,0.6433333333333333,0.24666666666666667,0.06333333333333334,0.043333333333333335
3,0.0018726591760299626,0.09550561797752809,0.8314606741573034,0.003745318352059925,0.06741573033707865
